Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.965034965034965,0.9962264150943396,0.98,0.9245283018867925,0.9514563106796117,0.9251281457541922
Decision Tree,0.958041958041958,0.9472746331236898,0.9795918367346939,0.9056603773584906,0.9411764705882353,0.9103355156170867
KNN,0.958041958041958,0.9859538784067086,0.9795918367346939,0.9056603773584906,0.9411764705882353,0.9103355156170867
Naive Bayes,0.9440559440559441,0.9924528301886792,0.9591836734693877,0.8867924528301887,0.9215686274509803,0.8798274352952579
Random Forest,0.958041958041958,0.9955974842767296,1.0,0.8867924528301887,0.94,0.9117937949604076
XGBoost,0.972027972027972,0.9937106918238994,1.0,0.9245283018867925,0.9607843137254902,0.9408435959389154
